Config,Accuracy
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.0126
batch128_lr_max_0.001_min_1e-05_dp0.05,0.0122
batch256_lr_max_0.01_min_1e-05_dp0.0,0.0117
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.0115
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.0115
batch512_lr_max_0.01_min_1e-05_dp0.0,0.0114
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.0110
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.0109
batch256_lr_max_0.01_min_1e-05_dp0.05,0.0107
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.0107
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.0106
batch256_lr_max_0.001_min_1e-05_dp0.05,0.0106
batch128_lr_max_0.01_min_1e-05_dp0.0,0.0105
batch128_lr_max_0.01_min_1e-05_dp0.05,0.0105
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.0104
batch512_lr_max_0.01_min_1e-05_dp0.05,0.0104
batch256_lr_max_0.001_min_1e-05_dp0.1,0.0103
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.0103
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.0102
batch512_lr_max_0.001_min_1e-05_dp0.1,0.0102
batch128_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch128_lr_max_0.001_min_1e-05_dp0.0,0.0100
batch128_lr_max_0.001_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.001_min_1e-05_dp0.0,0.0100
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.001_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.001_min_1e-05_dp0.05,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.01_min_1e-05_dp0.1,0.0097
